"repeat","dim","density","mlink","tolKKTres","maxOuterIter","maxtime","L","x0",
3,10,0.01,1,4,10000,180,7,0,-1,-1,-1,0,-1,-1,-1,-1,-0.95978,-0.69658,0.99833,-0.39301,-0.98523,0.46403,-0.14832,-0.16463,-0.82473,0.37157,
,,,,,,,0,7,-1,-1,-1,-1,0,-1,-1,-1,-0.28074,0.71748,0.057797,0.91953,-0.17124,0.88582,0.98894,0.98636,-0.56552,0.92841,
,,,,,,,-1,-1,8,-1,-1,-1,-1,0,-1,-1,,,,,,,,,,,
,,,,,,,-1,-1,-1,6,0,-1,-1,-1,0,0,,,,,,,,,,,
,,,,,,,-1,-1,-1,0,6,-1,0,-1,-1,0,,,,,,,,,,,
,,,,,,,0,-1,-1,-1,-1,8,-1,-1,-1,-1,,,,,,,,,,,
,,,,,,,-1,0,-1,-1,0,-1,7,-1,-1,-1,,,,,,,,,,,
,,,,,,,-1,-1,0,-1,-1,-1,-1,7,-1,0,,,,,,,,,,,
,,,,,,,-1,-1,-1,0,-1,-1,-1,-1,8,-1,,,,,,,,,,,
,,,,,,,-1,-1,-1,0,0,-1,-1,0,-1,6,,,,,,,,,,,
