,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,0.00011417,-3
1,0.0,0.0,0.0,0.00011417,-2
2,0.0,0.0,0.0,0.00011417,-1
3,0.38218,0.0,0.0,0.12163,0
4,0.80091,0.084082,0.25295,0.24538000000000001,1
5,1.5161,0.084082,0.9085200000000001,0.3655,2
6,1.9238,0.084082,1.909,0.3655,3
7,3.4896,0.17189000000000002,2.1362,0.3655,4
8,4.2595,0.27118000000000003,2.3664,0.48716000000000004,5
9,4.9982,0.40905,11.1328,0.48716000000000004,6
10,,19.1792,25.1834,0.48716000000000004,7
11,,,,0.48716000000000004,8
12,,,,0.48716000000000004,9
