"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,71.547,25.4274,0.00019408,NaN,NaN,NaN,NaN,14.1214,14.1214,
1,51.0896,31.1187,0.15302,0.25,0,3.8811,1,8.5408,8.5408,
2,48.2363,12.0097,0.18208,1,0,0.53227,1,3.9552,3.9552,
3,44.25,162.0222,0.22837,0.00097656,0,1.3165,1,2.8468,2.8468,
4,44.1418,10.9359,0.26128,0.125,0,0.12943,1,2.7652,2.7652,
5,44.113,17.58,0.30118,0.00048828,0,0.0085305,1,2.7649,2.7649,
6,40.0753,144.8303,0.35859,0.0019531,0,1.5516,1,1.8208,1.8208,
7,34.3017,131.4889,0.43011,0.125,0,1.8224,1,1.6609,1.6609,
8,35.6892,77.0337,0.49055,0.125,0,1.4475,1,0.77858,0.77858,
9,36.2658,219.6757,0.5691,0.03125,0,2.4672,1,0.61829,0.61829,
10,36.3382,12.0563,0.60215,1,0,0.14551,1,0.30941,0.30941,
11,34.7415,1602.8095,0.75648,3.8147e-06,0,0.79479,1,0.16582,0.16582,
12,34.6357,10.5041,0.78704,0.5,0,0.063511,1,0.13768,0.13768,
13,34.6338,16.3249,0.8217,6.1035e-05,0,0.00078506,1,0.13768,0.13768,
14,34.1701,93.2585,0.88568,0.00024414,0,0.85502,1,0.013673,0.013673,
15,33.7818,2216.6377,0.95791,6.1035e-05,0,0.54944,1,0.0038902,0.0038902,
16,33.7739,14.615,0.98932,0.125,0,0.0051194,1,0.0037539,0.0037539,
17,33.7738,16.2719,1.0219,3.0518e-05,0,9.5264e-05,1,0.0037539,0.0037539,
