method,nrep,time,iter
LQH,1,0.63031,26
LSE,1,4.2703,17
Riemannian_SQP,1,0.65682,15
LSE,2,1.2274,19
Riemannian_SQP,2,0.44551999999999997,11
LQH,3,37.4412,2707
LSE,3,9.0948,26
Riemannian_SQP,3,12.7561,228
Riemannian_SQP,4,28.0827,636
LSE,5,16.7413,862
Riemannian_SQP,5,0.59022,13
ALM,6,4.51,29
Riemannian_SQP,6,2.2034,50
ALM,7,3.4775,16
LQH,7,40.8454,3027
LSE,7,6.7492,349
Riemannian_SQP,7,0.77771,20
ALM,8,2.8925,22
LQH,8,0.7294,17
LSE,8,20.9783,1037
Riemannian_SQP,8,0.37765,9
LQH,9,0.37851999999999997,19
LSE,9,27.0672,1474
Riemannian_SQP,9,0.51744,12
Riemannian_SQP,10,7.271,178
LQH,11,4.7478,310
LSE,11,2.6894,14
Riemannian_SQP,11,0.6509,14
ALM,12,3.9654,22
LQH,12,1.4107,36
LSE,12,14.1699,441
Riemannian_SQP,12,3.3765,68
Riemannian_SQP,13,1.8032,40
LSE,14,23.0316,999
Riemannian_SQP,14,0.67797,17
LQH,15,0.54473,16
Riemannian_SQP,15,0.60037,15
LQH,16,22.5811,1328
ALM,17,5.2098,20
LSE,17,3.3662,19
Riemannian_SQP,17,0.83311,19
LQH,18,0.47068999999999994,21
LSE,18,5.3632,17
Riemannian_SQP,18,0.51573,12
LQH,19,13.026,911
LSE,19,3.3273,96
Riemannian_SQP,19,0.46558,11
LQH,20,3.248,182
LSE,20,3.1906,28
Riemannian_SQP,20,0.35949000000000003,8
