,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.858e-05,-3
1,0.0,0.0,0.0,3.858e-05,-2
2,0.0,0.0,0.0,3.858e-05,-1
3,0.9006799999999999,0.0,0.7046899999999999,0.091533,0
4,0.9923200000000001,0.065148,0.7046899999999999,0.37238000000000004,1
5,1.0599,0.065148,1.2131,0.44603000000000004,2
6,1.0599,0.065148,1.3805,0.44603000000000004,3
7,1.0599,0.08546799999999999,1.4298,0.48308999999999996,4
8,1.065,0.10357000000000001,1.4612,0.48308999999999996,5
9,1.1024,0.15605,1.561,0.48308999999999996,6
10,1.1739,0.16712,1.7274,0.48308999999999996,7
11,,,1.7765,0.52013,8
12,,,,56.901,9
13,,,,106.3524,10
