"repeat","dim","snr","delta","rank","mineigval_correction","maxOuterIter","maxtime","minstepsize","verbosity","Z",
1,10,0.25,0.7,1,1e-12,5000,3600,1e-08,1,-0.076847,-0.091791,0.0046251,0.041042,0.088892,0.2258,-0.4243,0.33572,0.021823,0.080744,
,,,,,,,,,,-0.82852,-0.34951,-0.28324,0.18386,0.61808,0.080698,-0.46514,0.34279,-0.6546,0.48353,
,,,,,,,,,,-0.10494,-0.41651,-0.41618,-0.17487,0.063384,-0.10349,0.18677,-0.36988,-0.22628,-0.50366,
,,,,,,,,,,-0.10709,-0.087689,-0.045577,0.91532,0.15511,0.23467,-0.22142,0.40343,0.16739,0.13876,
,,,,,,,,,,-0.45019,-0.22601,-0.082427,0.1357,-0.074034,-0.31803,-0.076271,-0.29775,0.011239,0.4249,
,,,,,,,,,,-0.16483,-0.069344,0.28832,-0.22195,0.072763,0.39841,-0.27493,-0.50579,-0.52585,0.12028,
,,,,,,,,,,0.44975,-0.071336,0.72928,0.1245,0.74803,0.063385,0.23737,1.0013,-0.15542,0.18628,
,,,,,,,,,,0.01875,-0.23033,0.26805,-0.26264,-0.24706,0.4977,0.072062,-0.64187,-0.047455,-0.15022,
,,,,,,,,,,0.30376,-0.36198,0.20324,-0.39637,-0.050245,0.17033,0.55173,-0.20964,-1.1953,-0.058562,
,,,,,,,,,,0.517,-0.11944,0.0014926,-0.4438,-0.21305,0.010455,0.57486,0.0025064,-0.53088,-0.90679,
