"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,25.2991,64.5613,7.967e-05,NaN,NaN,NaN,NaN,1,64.5959,1.4085,0.30762,
1,38.0909,43914522123.105,0.028549,1,0,1.2054,0,24006264863.9372,43914522123.105,1.0752,0.22816,
2,58.3026,58057688875.2647,0.051347,1,0,0.52658,1,24006264863.9372,58057688875.2647,0.39635,0.10972,
3,62.7774,648119810.6435,0.070895,1,0,0.3048,1,24006264863.9372,648119810.6435,0.12363,0.026462,
4,62.8226,258348272.5419,0.088497,1,0,0.24697,1,24006264863.9372,258348272.5419,0.036717,0.0058498,
5,62.8621,38688043.596,0.10328,1,0,0.047091,1,24006264863.9372,38688043.596,0.0077738,0.0017905,
6,62.9094,11572147.623,0.12274,1,0,0.019668,1,24006264863.9372,11572147.623,0.0025538,0.00055117,
7,62.9133,1506210.2218,0.1411,1,0,0.004039,1,24006264863.9372,1506210.2218,0.0015895,0.00028767,
8,62.9374,1606948.0354,0.15647,1,0,0.0083104,1,24006264863.9372,1606948.0354,2.7969e-05,3.1147e-06,
9,62.9373,866.9528,0.17172,1,0,1.9973e-05,1,24006264863.9372,866.9528,1.907e-06,3.4373e-07,
10,62.9373,0.0034408,0.18545,1,0,9.8096e-06,1,24006264863.9372,0.0034408,3.9294e-11,1.3107e-11,
11,62.9373,6.7962e-09,0.20494,7.6294e-06,0,8.489e-15,1,24006264863.9372,6.7967e-09,3.9294e-11,1.3108e-11,
