"iter","cost",
0,1092.8515,
1,944.4083,
2,609.1489,
3,429.6186,
4,322.7096,
5,264.8061,
6,221.1583,
7,178.4965,
8,165.0166,
9,133.4611,
10,123.1192,
11,121.2784,
12,116.5756,
13,113.5783,
14,112.8774,
15,111.6562,
16,110.6686,
17,110.6402,
18,109.1503,
19,107.4537,
20,107.4356,
21,107.1416,
22,107.1412,
23,100.0936,
24,100.0934,
25,100.0508,
26,100.0253,
27,100.0056,
28,99.9864,
29,99.9862,
30,99.9861,
31,99.9433,
32,99.9427,
33,99.5639,
34,99.0335,
35,98.6187,
36,98.6094,
37,98.5987,
38,98.5179,
39,98.4715,
40,98.1835,
41,98.0825,
42,98.0806,
43,98.0689,
44,98.0218,
45,97.0007,
46,96.9957,
47,96.9932,
48,96.8164,
49,96.8158,
50,96.8103,
51,96.7491,
52,96.742,
53,96.5299,
54,96.5103,
55,96.3381,
56,96.337,
57,96.2386,
58,95.9014,
59,95.9008,
60,95.616,
61,95.6187,
62,95.6187,
63,95.6187,
64,95.6187,
65,95.6138,
66,95.6062,
67,95.4967,
68,95.4965,
69,95.4964,
70,95.4897,
71,95.4894,
72,95.4808,
73,95.4807,
74,95.4656,
75,95.4061,
76,95.4061,
77,95.3628,
78,95.3628,
79,95.3475,
80,95.3475,
81,95.3475,
82,95.3474,
83,95.3472,
84,95.3471,
85,95.3471,
86,95.3439,
87,95.3439,
88,95.3439,
88,95.3439,
