"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,7.5601,7.5601,70.2982,20.3761,
1,0.12775,0.90632,0.90632,33.7998,7.1244,
2,0.159,0.28607,0.28607,35.1969,6.1807,
3,0.18431,0.17592,0.17592,35.5404,6.4946,
4,0.20858,0.13048,0.13048,35.7062,6.5897,
5,0.22991,0.10541,0.10541,35.8076,6.6069,
6,0.26099,0.070212,0.070212,35.9689,5.924,
7,0.30215,0.053884,0.053884,36.0554,6.0471,
8,0.35253,0.044354,0.044354,36.1111,6.0991,
9,0.40178,0.030243,0.030243,36.2044,5.5423,
10,0.44303,0.023463,0.023463,36.2561,5.6928,
11,0.48159,0.019433,0.019433,36.2901,5.7693,
12,0.5168,0.013357,0.013357,36.3482,5.2847,
13,0.57686,0.010402,0.010402,36.3809,5.4562,
14,0.63827,0.0086345,0.0086345,36.4025,5.5499,
15,0.70098,0.0059526,0.0059526,36.4399,5.1108,
16,0.77531,0.0046423,0.0046423,36.4611,5.2974,
17,0.87393,0.0038567,0.0038567,36.4751,5.403,
18,0.96634,0.0026618,0.0026618,36.4995,4.9936,
19,1.0525,0.0024438,0.0024438,36.5045,5.0673,
20,1.1503,0.0017047,0.0017047,36.5233,4.562,
21,1.1523,0.0017047,0.0017047,36.5233,4.562,
22,1.2934,0.0010243,0.0010243,36.5445,4.3602,
23,1.2949,0.0010243,0.0010243,36.5445,4.3602,
24,1.3601,0.00055373,0.00055373,36.5638,4.5658,
25,1.3615,0.00055373,0.00055373,36.5638,4.5658,
26,1.4951,0.00027974,0.00027974,36.5791,4.9722,
27,1.4973,0.00027974,0.00027974,36.5791,4.9722,
28,1.6741,0.00013544,0.00013544,36.5906,5.3868,
29,1.6753,0.00013544,0.00013544,36.5906,5.3868,
30,1.8727,6.3833e-05,6.3833e-05,36.5988,5.73,
31,1.88,6.3833e-05,6.3833e-05,36.5988,5.73,
