"initialpoint","repeat","row_dim","col_dim","rank","mineigval_correction","tolKKTres","maxOuterIter","maxtime","verbosity","P","PA","x0",
"feasible",1,10,20,3,1e-05,16,100000,30,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.6092,0,0,0,0,1.4523,0.74092,0,0,0,0,0.9662,0.86338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0.74923,0,0,0,0,0,0.91629,0.91949,1.2674,0,1.2017,0,0,0.35422,0,0,1.1585,1.2425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0.76165,0,0,0,0,0,0.60022,0,0,0.78709,1.2803,0.51705,0,0,0.79083,0,0.59588,0.8119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0.64545,0.64358,1.0116,1.4386,0,0,0.96813,0,0.85439,0,0.92392,0,0,0,0.38692,0,0,0,1.2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0.29097,0,0,0.35665,0,0.19357,0,0.37488,0.37829,0,0,0.26512,0.35477,0.2162,0.2387,0.15435,0,0,0.41705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1.0068,0,0,0,0,0.63553,0.72499,0,1.3186,0,0,0.87856,0,0,0,0,1.0817,1.0087,1.4212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0.37616,0,0,0.39025,0.31201,0,0,0.47273,0,0,0,0,0,0.29434,0.51708,0.50272,0.70809,0.67676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51946,0,0.37224,0,0,0,0,0.26977,0.15732,0.35024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1.0365,0.78243,0,0,0,0,0,0,0,1.1214,1.8315,0,0,0,0.83475,0,0,0,0,1.6317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.78991,0.81911,1.2701,0,0.82093,0,0,0,1.0731,0,0,0,0,0.68868,0.50838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
