"repeat","dim","density","mlink","tolKKTres","maxOuterIter","maxtime","L","x0",
4,10,0.03,1,10,10000,180,6,-1,-1,-1,-1,0,-1,-1,0,0,0.43224,-0.86651,-0.2329,-0.56676,-0.17338,-0.85427,0.96043,-0.79615,-0.96855,-0.84931,
,,,,,,,-1,4,-1,0,0,0,-1,0,0,-1,0.90176,-0.49917,-0.9725,-0.82388,-0.98486,0.51984,0.27852,0.60509,-0.24882,-0.5279,
,,,,,,,-1,-1,6,0,-1,0,0,-1,-1,-1,,,,,,,,,,,
,,,,,,,-1,0,0,6,0,-1,-1,-1,-1,-1,,,,,,,,,,,
,,,,,,,-1,0,-1,0,6,-1,-1,-1,0,-1,,,,,,,,,,,
,,,,,,,0,0,0,-1,-1,5,-1,0,-1,-1,,,,,,,,,,,
,,,,,,,-1,-1,0,-1,-1,-1,6,0,0,-1,,,,,,,,,,,
,,,,,,,-1,0,-1,-1,-1,0,0,4,0,0,,,,,,,,,,,
,,,,,,,0,0,-1,-1,0,-1,0,0,3,0,,,,,,,,,,,
,,,,,,,0,-1,-1,-1,-1,-1,-1,0,0,6,,,,,,,,,,,
