"repeat","dim","density","mlink","tolKKTres","maxOuterIter","maxtime","L","x0",
1,10,0.005,1,10,10000,180,5,0,0,-1,-1,0,0,-1,-1,-1,0.2855,0.12263,-0.83692,-0.097527,0.26151,-0.17486,-0.9596,0.75675,-0.98931,-0.18877,
,,,,,,,0,4,-1,0,-1,-1,0,0,0,-1,0.95838,0.99245,0.54733,-0.99523,0.9652,-0.98459,-0.28135,0.6537,0.14584,0.98202,
,,,,,,,0,-1,4,-1,0,0,0,0,-1,-1,,,,,,,,,,,
,,,,,,,-1,0,-1,4,0,0,0,0,-1,-1,,,,,,,,,,,
,,,,,,,-1,-1,0,0,4,0,-1,0,0,-1,,,,,,,,,,,
,,,,,,,0,-1,0,0,0,3,0,0,-1,-1,,,,,,,,,,,
,,,,,,,0,0,0,0,-1,0,2,0,0,-1,,,,,,,,,,,
,,,,,,,-1,0,0,0,0,0,0,3,-1,-1,,,,,,,,,,,
,,,,,,,-1,0,-1,-1,0,-1,0,-1,5,0,,,,,,,,,,,
,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,0,8,,,,,,,,,,,
