"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,9711.9527,819.7765,6.3434e-05,NaN,NaN,NaN,NaN,1,729.2719,712.5544,712.5544,
1,9500.2152,5560.0136,1.3835,0.0019531,0,7.037,1,7.7637,609.839,592.2073,592.2073,
2,9500.8108,141.366,2.5967,0.125,0,0.42242,1,7.7637,588.3942,570.0693,570.0693,
3,9495.1936,182.5491,3.76,0.0039063,0,0.21392,1,7.7637,588.6805,570.2045,570.2045,
4,9101.5306,193.3214,5.009,0.25,0,8.6796,1,7.7637,159.3816,72.6564,72.6564,
5,9011.6723,593.9576,6.1513,0.03125,0,3.4086,1,7.7637,159.7448,72.2538,72.2538,
6,8995.7693,146.6675,7.3394,0.5,0,0.31363,1,7.7637,155.8979,61.3804,61.3804,
7,8995.5404,310.474,8.5151,3.0518e-05,0,0.0073738,1,7.7637,155.9366,61.3928,61.3928,
8,8995.3422,536.0033,9.7682,6.1035e-05,0,0.0068097,1,7.7637,155.9694,61.4015,61.4015,
9,8995.1144,768.0457,11.0017,6.1035e-05,0,0.0078641,1,7.7637,156.0083,61.4143,61.4143,
10,8994.9671,1486.1984,12.1683,1.5259e-05,0,0.0050967,1,7.7637,156.0326,61.4204,61.4204,
11,8994.8971,4063.722,13.3405,1.9073e-06,0,0.0024219,1,17.022,156.0436,61.4218,61.4218,
12,8994.8885,26957.0248,14.4963,1.4901e-08,0,0.00029868,1,113.0302,156.0449,61.4219,61.4219,
13,8994.8873,212704.2968,15.6943,2.3283e-10,0,4.3719e-05,1,891.9317,156.0451,61.4219,61.4219,
