9.73E-05	2.181443005	1.368980131	0.639832168	1.520817395	60.87340047	0.642913808	1.517412993	60.27978605	0.006284946	2.177818704	60.13359346	5	10	2	4
Inf	2.227983241	62.0401784	0.403265431	2.148578129	60.78999735	0.103537315	2.149297685	61.21053806	8.95E-05	2.414359049	5.145360397	5	10	2	4
Inf	2.560249621	63.06558545	0.104238424	2.483819832	22.30756393	0.104403857	2.483703129	8.6489157	5.82E-05	2.560248288	1.979613266	5	10	2	4
Inf	19.41132479	60.72857624	5.715523585	3.205756086	60.89733987	5.69726272	3.249364274	61.01990683	0.006923236	19.4038825	60.1107196	5	10	2	4
1.37E-05	32.3352598	2.764316929	8.553358924	7.434509813	2.32753608	6.965508254	9.411663641	60.80858831	4.52E-05	36.7515863	2.165919308	5	10	2	4
Inf	41.46358325	64.89478553	7.104941502	15.19139335	3.795662198	7.114475057	15.23862525	60.59463465	8.12E-05	41.46329236	0.77830895	5	10	2	4
Inf	6.181761075	64.40158123	1.240553579	3.897064723	9.311687115	1.240598849	3.896969844	5.836888007	7.90E-05	6.70224142	3.371568827	5	10	2	4
Inf	5.849236299	63.35091665	2.17617285	2.431511275	11.23576387	2.176245053	2.431340722	10.23785114	8.43E-05	5.849237526	2.045389018	5	10	2	4
Inf	17.2748023	61.11641466	4.397902428	4.885515577	61.16629727	4.353526196	4.884757693	60.99037659	8.22E-05	17.3594601	5.848954365	5	10	2	4
Inf	3.738457472	63.62861581	1.29963048	2.500881832	61.42062604	1.126942392	2.506713783	60.17806005	0.006341816	4.110659768	60.04467577	5	10	2	4
Inf	7.286934677	64.57417164	1.877048525	4.205605337	61.47344095	1.876243722	4.203621317	8.079532917	9.70E-05	7.461115453	3.946345355	5	10	2	4
7.86E-05	24.73720085	2.19743109	6.696373203	5.259164194	4.389151643	6.696372091	5.259248982	5.175113784	5.47E-05	26.02910359	1.427017736	5	10	2	4
Inf	8.461969507	63.65633743	2.721838983	3.35848597	60.83696579	2.712016598	3.315649023	60.21514077	9.97E-05	15.41990413	29.67297856	5	10	2	4
Inf	11.53185014	60.09773799	2.340604871	6.506542851	60.39127063	2.034396181	7.41900111	61.53416467	1.89E-05	12.15085263	2.171396876	5	10	2	4
Inf	8.889215561	63.85162877	2.37428105	5.10567285	6.059404449	2.208662982	4.843864151	60.59899949	9.46E-05	8.875471351	0.763041838	5	10	2	4
Inf	7.370916863	64.73813093	0.182139305	7.395899803	3.898684432	0.182167359	7.39588081	3.945225827	6.31E-05	7.533202431	2.158203062	5	10	2	4
8.34E-05	18.30497009	2.248051493	4.419149722	7.618888882	5.267960209	4.791512031	6.4289025	60.36664668	1.90E-05	19.28340297	1.365784285	5	10	2	4
8.60E-05	26.2767428	1.929188072	7.606780197	3.234126527	60.11715094	7.601878667	2.95665587	60.11320408	2.44E-05	26.46240893	2.889999313	5	10	2	4
Inf	6.397028195	60.29514151	2.395976098	4.141510902	4.661330188	2.34392938	3.302826575	60.11278157	6.54E-05	7.010200068	1.223419616	5	10	2	4
Inf	13.0565737	64.06840711	3.651181371	5.713217227	3.024461966	3.616067182	4.217798344	60.86175172	9.34E-05	16.32615556	9.320444352	5	10	2	4
