"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,62.1709,5.1729e-05,NaN,NaN,NaN,NaN,NaN,39.1457,39.1457,
1,53.3864,0.14748,11.9059,0.03125,0,2.9195,1,31.3955,31.3955,
2,62.827,0.20667,95.7868,0.5,0,5.3336,1,4.9409,4.9409,
3,61.5322,0.23912,0.39352,1,0,0.39252,1,2.6407,2.6407,
4,50.9023,0.32395,5.8873,0.25,0,2.3758,1,1.2567,1.2567,
5,50.6526,0.35756,0.12353,0.25,0,0.12349,1,1.153,1.153,
6,47.6569,0.42239,1.6185,3.8147e-06,0,1.2615,1,0.18207,0.18207,
7,48.0476,0.49978,1.4053,0.0078125,0,1.1284,1,0.10016,0.10016,
8,47.8565,0.53992,0.046893,0.5,0,0.046891,1,0.08218,0.08218,
9,46.9091,0.61631,0.75821,0.0039063,0,0.69179,1,0.0034305,0.0034305,
10,46.8826,0.65048,0.0066166,0.25,0,0.0066166,1,0.0031889,0.0031889,
11,46.5117,0.73971,0.30225,0.0019531,0,0.29801,1,0.00018951,0.00018951,
12,46.4511,0.80946,0.235,3.0518e-05,0,0.2321,1,0.00017147,0.00017147,
13,46.205,0.94336,0.19999,6.1035e-05,0,0.1985,1,4.2993e-05,4.2993e-05,
14,46.2861,1.0609,0.15557,0.015625,0,0.15494,1,2.7717e-05,2.7717e-05,
15,46.2858,1.0988,6.5406e-05,0.0039063,0,6.5406e-05,1,2.7669e-05,2.7669e-05,
