"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,58.9783,59.5483,5.8525e-05,NaN,NaN,NaN,NaN,1,68.8085,32.3104,21.7204,
1,62.4378,11.9479,0.017104,4.7684e-07,0,4.2714,1,1.7291,12.5988,4.4456,2.9151,
2,50.7761,17.2152,0.033561,1.1921e-07,0,3.1616,1,2.6381,17.2505,1.103,0.55152,
3,45.3876,9.2616,0.049832,5.9605e-08,0,1.6807,1,3.8092,9.2617,0.048476,0.024238,
4,42.3784,21.2672,0.065928,2.3842e-07,0,1.2271,1,3.8092,21.2731,0.50076,0.25038,
5,55.5834,23.9364,0.080736,1.9073e-06,0,2.622,1,35.5504,23.9364,0.021768,0.010884,
6,55.4288,9.7711,0.10067,2.3283e-10,0,0.018933,1,35.5504,9.7712,0.023519,0.01176,
7,49.6555,41.947,0.11704,1.4901e-08,0,0.88856,1,35.5504,41.9471,0.11006,0.055029,
8,48.987,8.6243,0.13394,3.7253e-09,0,0.15888,1,35.5504,8.6251,0.1168,0.058401,
9,48.1211,176.1449,0.15042,1.4901e-08,0,0.35402,1,92.2577,176.1449,0.1141,0.05705,
10,47.3579,274.9328,0.16728,2.9802e-08,0,1.2082,1,163.6926,274.9328,0.088264,0.044132,
11,45.7151,92.7533,0.18399,2.9802e-08,0,0.75623,1,163.6926,92.7533,0.030328,0.015164,
12,45.6643,6.7371,0.2022,2.3283e-10,0,0.010893,1,163.6926,6.7371,0.030494,0.015247,
13,45.6635,9.036,0.22078,1.1642e-10,0,0.00099003,1,163.6926,9.036,0.030497,0.015249,
14,45.662,11.7189,0.23545,1.9073e-06,0,0.0010151,1,163.6926,11.7189,0.030502,0.015251,
15,45.6601,9.1396,0.25357,5.8208e-11,0,0.0010704,1,163.6926,9.1396,0.030507,0.015254,
16,45.6588,9.2632,0.27175,5.8208e-11,0,0.00085495,1,163.6926,9.2633,0.03051,0.015255,
17,45.6574,9.3407,0.28922,5.8208e-11,0,0.00089006,1,163.6926,9.3407,0.030514,0.015257,
18,45.656,9.4116,0.30614,5.8208e-11,0,0.00092034,1,163.6926,9.4117,0.030517,0.015259,
19,45.6544,9.486,0.32351,5.8208e-11,0,0.00095063,1,163.6926,9.4861,0.030521,0.01526,
20,45.6528,9.563,0.34415,5.8208e-11,0,0.00098194,1,163.6926,9.5631,0.030525,0.015262,
21,45.651,9.6428,0.36146,5.8208e-11,0,0.0010142,1,163.6926,9.6428,0.030529,0.015265,
22,45.6491,9.7254,0.37898,5.8208e-11,0,0.0010474,1,163.6926,9.7254,0.030534,0.015267,
23,45.6471,9.8109,0.39634,5.8208e-11,0,0.0010817,1,163.6926,9.8109,0.030539,0.015269,
24,45.645,9.8994,0.41401,5.8208e-11,0,0.001117,1,163.6926,9.8994,0.030544,0.015272,
25,45.6427,9.9909,0.43183,5.8208e-11,0,0.0011533,1,163.6926,9.991,0.030549,0.015275,
26,45.6403,10.0857,0.44974,5.8208e-11,0,0.0011907,1,163.6926,10.0858,0.030555,0.015278,
27,45.6377,10.1838,0.46768,5.8208e-11,0,0.0012293,1,163.6926,10.1838,0.030561,0.015281,
28,45.6349,10.2852,0.48554,5.8208e-11,0,0.001269,1,163.6926,10.2852,0.030568,0.015284,
29,45.6319,10.39,0.50291,5.8208e-11,0,0.0013099,1,163.6926,10.3901,0.030575,0.015288,
30,45.6288,10.4985,0.52023,5.8208e-11,0,0.001352,1,163.6926,10.4985,0.030583,0.015291,
31,45.6255,10.6106,0.53819,5.8208e-11,0,0.0013954,1,163.6926,10.6106,0.030591,0.015295,
32,45.6219,10.7264,0.55653,5.8208e-11,0,0.0014401,1,163.6926,10.7265,0.030599,0.0153,
33,45.6181,10.8461,0.57473,5.8208e-11,0,0.0014861,1,163.6926,10.8461,0.030608,0.015304,
34,45.6141,10.9697,0.59474,5.8208e-11,0,0.0015335,1,163.6926,10.9697,0.030618,0.015309,
35,45.6098,11.0973,0.61713,5.8208e-11,0,0.0015824,1,163.6926,11.0974,0.030628,0.015314,
36,45.6052,11.2291,0.63612,5.8208e-11,0,0.0016327,1,163.6926,11.2291,0.030639,0.015319,
37,45.6003,11.365,0.65923,5.8208e-11,0,0.0016846,1,163.6926,11.3651,0.030651,0.015325,
38,45.5951,11.5052,0.6817,5.8208e-11,0,0.0017381,1,163.6926,11.5053,0.030663,0.015331,
39,45.5896,11.6498,0.70004,5.8208e-11,0,0.0017933,1,163.6926,11.6498,0.030676,0.015338,
40,45.5837,11.7988,0.72633,5.8208e-11,0,0.0018503,1,163.6926,11.7988,0.03069,0.015345,
41,45.5775,11.9523,0.76427,5.8208e-11,0,0.001909,1,163.6926,11.9523,0.030705,0.015353,
42,45.5708,12.1103,0.7864,5.8208e-11,0,0.0019698,1,163.6926,12.1103,0.030721,0.015361,
43,45.5637,12.2729,0.80541,5.8208e-11,0,0.0020325,1,163.6926,12.2729,0.030738,0.015369,
44,45.5562,12.4401,0.82498,5.8208e-11,0,0.0020975,1,163.6926,12.4402,0.030756,0.015378,
45,45.5481,12.612,0.84359,5.8208e-11,0,0.0021647,1,163.6926,12.612,0.030776,0.015388,
46,45.5395,12.7885,0.862,5.8208e-11,0,0.0022345,1,163.6926,12.7886,0.030797,0.015398,
47,45.5304,12.9697,0.8794,5.8208e-11,0,0.002307,1,163.6926,12.9698,0.030819,0.015409,
48,45.5206,13.1555,0.89669,5.8208e-11,0,0.0023825,1,163.6926,13.1556,0.030843,0.015421,
49,45.5102,13.3459,0.91422,5.8208e-11,0,0.0024614,1,163.6926,13.346,0.030869,0.015434,
50,45.4991,13.5409,0.93178,5.8208e-11,0,0.0025441,1,163.6926,13.5409,0.030896,0.015448,
51,45.4872,13.7402,0.94997,5.8208e-11,0,0.0026314,1,163.6926,13.7403,0.030926,0.015463,
52,45.4745,13.944,0.96754,5.8208e-11,0,0.0027241,1,163.6926,13.944,0.030959,0.015479,
53,45.4608,14.152,0.98587,5.8208e-11,0,0.0028239,1,163.6926,14.152,0.030994,0.015497,
54,45.446,14.3642,1.0035,5.8208e-11,0,0.002933,1,163.6926,14.3642,0.031032,0.015516,
55,45.43,14.5801,1.0213,5.8208e-11,0,0.0030558,1,163.6926,14.5801,0.031075,0.015537,
56,45.4124,14.7981,1.0428,5.8208e-11,0,0.0032009,1,163.6926,14.7982,0.031122,0.015561,
57,45.3927,15.01,1.0645,5.8208e-11,0,0.0033875,1,163.6926,15.01,0.031176,0.015588,
