"repeat","dim","density","mlink","maxOuterIter","maxtime","minstepsize","verbosity","L","A",
1,5,0.04,1,5000,3600,1e-08,1,8,-1,-1,-1,-1,-1,-1,-1,-1,0,2.7338,2.2738,2.8646,2.0815,2.8831,2.3107,1.7942,2.6593,2.5688,2.1688,
,,,,,,,,-1,5,-1,0,0,-1,-1,-1,0,0,2.2738,2.5616,2.8211,1.6598,2.8793,1.9375,1.9539,2.3275,2.2687,1.679,
,,,,,,,,-1,-1,6,0,-1,-1,-1,0,-1,0,2.8646,2.8211,2.3428,2.0352,2.7443,2.3409,2.0463,2.4458,2.4414,1.6146,
,,,,,,,,-1,0,0,4,-1,-1,0,-1,0,0,2.0815,1.6598,2.0352,1.5225,2.7409,1.6495,1.5165,2.1915,1.9925,1.3799,
,,,,,,,,-1,0,-1,-1,5,0,-1,0,-1,0,2.8831,2.8793,2.7443,2.7409,3.7613,2.6082,2.4464,2.9207,3.1051,2.208,
,,,,,,,,-1,-1,-1,-1,0,5,-1,0,0,0,2.3107,1.9375,2.3409,1.6495,2.6082,1.5266,1.5497,2.1053,2.2395,1.3939,
,,,,,,,,-1,-1,-1,0,-1,-1,8,-1,-1,-1,1.7942,1.9539,2.0463,1.5165,2.4464,1.5497,1.8166,1.8959,1.9406,1.3867,
,,,,,,,,-1,-1,0,-1,0,0,-1,6,-1,-1,2.6593,2.3275,2.4458,2.1915,2.9207,2.1053,1.8959,2.6058,2.6394,1.6611,
,,,,,,,,-1,0,-1,0,-1,0,-1,-1,5,0,2.5688,2.2687,2.4414,1.9925,3.1051,2.2395,1.9406,2.6394,2.3579,1.8924,
,,,,,,,,0,0,0,0,0,0,-1,-1,0,2,2.1688,1.679,1.6146,1.3799,2.208,1.3939,1.3867,1.6611,1.8924,1.3536,
