,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.8368e-05,-3
1,0.0,0.0,0.0,3.8368e-05,-2
2,0.9315,0.0,0.0,0.23290999999999998,-1
3,1.3053,0.21013,1.3033,0.78623,0
4,1.3053,0.21013,1.3033,3.1435,1
5,1.3382,0.21013,4.3505,4.0418,2
6,1.3382,0.21013,8.6788,4.2179,3
7,1.4183,0.27331,12.8441,4.2179,4
8,7.6992,0.31654,17.7578,4.397,5
9,7.6992,1.588,17.7578,7.807,6
10,7.6992,1.5943,17.7578,,7
11,7.6992,1.6315,17.7578,,8
12,7.7231,1.7063,17.7578,,9
13,8.0878,1.734,18.0201,,10
14,9.1871,2.0193,19.0708,,11
15,13.2621,2.5696,,,12
16,,5.7709,,,13
