,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.0891999999999995e-05,-3
1,0.0,0.0,0.0,3.0891999999999995e-05,-2
2,0.0,0.0,0.0,3.0891999999999995e-05,-1
3,0.28231,0.0,1.3904,0.06299,0
4,0.36703,0.061324000000000004,1.3904,0.40479,1
5,0.54982,0.061324000000000004,2.3844,1.1209,2
6,0.64294,0.061324000000000004,2.7585,1.6394,3
7,0.81934,0.10565999999999999,2.8553,1.702,4
8,0.9463,0.18185,2.8553,1.7656,5
9,1.0219,0.21103000000000002,3.0636,1.7656,6
10,1.09,0.311,,3.4188,7
11,1.1143,,,9.4482,8
12,,,,23.0475,9
