"iter","time","maxviolation","meanviolation","cost",
0,0,0.46945,0.10054,-0.20408,
1,0.0097208,0,0,-0.17538,
2,0.02236,0,0,-0.22726,
3,0.06625,0,0,-0.61683,
4,0.088873,0.00010636,4.2546e-06,-0.62738,
5,0.10041,5.2597e-05,2.7492e-06,-0.62835,
6,0.10591,1.2134e-05,6.9644e-07,-0.62845,
7,0.11117,3.1328e-06,1.5392e-07,-0.62846,
8,0.11642,3.6215e-06,4.6651e-07,-0.62846,
9,0.12041,5.9118e-06,8.2299e-07,-0.62846,
10,0.1256,1.2217e-06,1.0632e-07,-0.62846,
11,0.12994,3.2723e-07,3.0783e-08,-0.62846,
12,0.13375,2.4498e-06,2.383e-07,-0.62846,
13,0.1388,1.9695e-07,2.2238e-08,-0.62846,
14,0.14407,9.2892e-09,7.9822e-10,-0.62846,
15,0.14804,1.0619e-06,9.4204e-08,-0.62846,
16,0.15372,3.4959e-07,4.9359e-08,-0.62846,
17,0.15937,5.129e-09,4.9588e-10,-0.62846,
18,0.16372,7.8043e-08,7.9549e-09,-0.62846,
19,0.16973,1.59e-08,9.3048e-10,-0.62846,
20,0.17543,3.7911e-11,3.5629e-12,-0.62846,
21,0.17957,2.2218e-08,2.2231e-09,-0.62846,
22,0.18624,8.7463e-09,1.1907e-09,-0.62846,
23,0.19277,5.548e-12,5.2744e-13,-0.62846,
24,0.19694,8.3485e-09,8.571e-10,-0.62846,
25,0.20365,8.3685e-10,6.4884e-11,-0.62846,
26,0.21061,2.4125e-13,2.2562e-14,-0.62846,
27,0.21498,8.8614e-10,8.8088e-11,-0.62846,
28,0.22304,4.6366e-10,6.2745e-11,-0.62846,
29,0.23009,4.7813e-14,4.6505e-15,-0.62846,
30,0.2342,2.555e-10,2.6202e-11,-0.62846,
