"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,777.8325,403.8041,440.5512,779.0082,
1,0.31923,0.18454,0.092269,343.9701,25.8406,
2,0.61125,0.038299,0.019149,178.9603,10.8082,
3,1.016,0.034841,0.01742,139.6234,5.3388,
4,1.438,0.023096,0.011548,129.0716,4.2261,
5,1.8615,0.023035,0.011517,120.7281,4.0077,
6,2.1893,0.0026394,0.0013197,115.758,1.3434,
7,2.1975,0.0020533,0.0010267,115.7592,1.3441,
8,2.2052,0.0015968,0.00079838,115.7603,1.3447,
9,2.2127,0.0012432,0.00062158,115.7613,1.3452,
10,2.2204,0.00096934,0.00048467,115.7621,1.3456,
11,2.2278,0.00075738,0.00037869,115.7628,1.346,
12,2.2347,0.00059341,0.0002967,115.7635,1.3464,
13,2.2412,0.00046656,0.00023328,115.764,1.3467,
14,2.248,0.00036855,0.00018428,115.7645,1.3469,
15,2.2546,0.00029296,0.00014648,115.7649,1.3472,
16,2.2613,0.00023484,0.00011742,115.7653,1.3474,
17,2.2691,0.0001904,9.5199e-05,115.7656,1.3475,
18,2.2759,0.00015674,7.837e-05,115.7659,1.3476,
19,2.2871,4.5015e-05,2.2508e-05,115.767,1.3483,
20,2.2957,3.5396e-05,1.7698e-05,115.7672,1.3484,
21,2.3029,2.8082e-05,1.4041e-05,115.7673,1.3484,
22,2.3093,2.244e-05,1.122e-05,115.7674,1.3485,
23,2.3154,1.8137e-05,9.0685e-06,115.7675,1.3486,
24,2.3215,1.4867e-05,7.4337e-06,115.7676,1.3486,
25,2.3316,4.3126e-06,2.1563e-06,115.768,1.3488,
26,2.3378,3.3633e-06,1.6816e-06,115.768,1.3488,
27,2.3442,2.6687e-06,1.3343e-06,115.7681,1.3488,
28,2.3503,2.133e-06,1.0665e-06,115.7681,1.3489,
29,2.3567,1.723e-06,8.615e-07,115.7681,1.3489,
30,2.3631,1.4102e-06,7.0509e-07,115.7682,1.3489,
