"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,85.296,85.296,229.1701,88.2361,
1,0.25694,0.057524,0.057524,50.0263,4.1456,
2,0.56849,0.039062,0.039062,38.0068,3.0403,
3,0.76546,0.06618,0.06618,37.5872,3.4614,
4,0.7755,0.017939,0.017939,37.6437,3.46,
5,0.78215,0.014174,0.014174,37.6505,3.4598,
6,0.7885,0.011287,0.011287,37.6564,3.4595,
7,0.79504,0.0090814,0.0090814,37.6614,3.4593,
8,0.80138,0.0074196,0.0074196,37.6656,3.4591,
9,0.81242,0.0021891,0.0021891,37.6836,3.4588,
10,0.81973,0.0017247,0.0017247,37.686,3.4587,
11,0.82775,0.0013616,0.0013616,37.6882,3.4587,
12,0.83556,0.0010821,0.0010821,37.69,3.4586,
13,0.84378,0.00086808,0.00086808,37.6916,3.4585,
14,0.85319,0.0007059,0.0007059,37.6929,3.4585,
15,0.86415,0.00021154,0.00021154,37.6984,3.4584,
16,0.87123,0.00016601,0.00016601,37.6992,3.4583,
17,0.87865,0.00013084,0.00013084,37.6998,3.4583,
18,0.88563,0.00010375,0.00010375,37.7004,3.4583,
19,0.89307,8.298e-05,8.298e-05,37.7009,3.4583,
20,0.90014,6.7199e-05,6.7199e-05,37.7013,3.4583,
21,0.90733,5.5436e-05,5.5436e-05,37.7017,3.4583,
22,0.91913,1.5718e-05,1.5718e-05,37.7032,3.4582,
23,0.92589,1.2502e-05,1.2502e-05,37.7034,3.4582,
24,0.93243,9.9066e-06,9.9066e-06,37.7036,3.4582,
25,0.93927,7.9181e-06,7.9181e-06,37.7038,3.4582,
26,0.94573,6.4017e-06,6.4017e-06,37.7039,3.4582,
27,0.95268,5.2594e-06,5.2594e-06,37.704,3.4582,
28,0.96304,1.5167e-06,1.5167e-06,37.7045,3.4582,
29,0.96989,1.1891e-06,1.1891e-06,37.7046,3.4582,
30,0.97667,9.5361e-07,9.5361e-07,37.7046,3.4582,
